100 50000
121 2105 104
174 4993 121
100 7837 124
108 8748 170
100 8839 181
135 1240 160
149 6682 190
133 7357 103
165 7121 40
128 6482 149
163 3466 79
148 599 29
116 2767 36
135 4829 39
129 1985 83
169 9555 54
137 7952 82
169 7652 76
153 235 137
138 6300 16
182 3594 25
128 9304 104
122 469 103
114 7888 96
174 4023 155
186 8432 3
164 1572 154
158 9371 46
139 1249 166
192 1857 92
153 4981 175
199 5920 74
179 4581 144
172 6616 119
124 6404 152
170 4362 5
135 9701 16
127 2479 94
194 2895 65
155 5783 8
106 4513 24
113 5465 23
171 432 176
175 7391 71
156 9738 193
189 1211 167
193 2184 159
189 4610 117
145 6153 166
122 8923 68
122 3474 62
141 4282 111
170 9616 165
104 3780 102
133 5608 19
192 2801 199
152 4525 18
185 9948 28
133 4726 15
113 407 179
170 9668 6
191 7310 145
193 6108 136
172 5264 148
174 1502 174
164 7545 5
168 6017 85
143 6150 117
110 8425 86
158 7623 79
133 9854 39
110 5473 188
175 4758 11
197 4451 130
132 1787 192
169 8129 3
157 8873 128
146 3077 33
158 8150 103
185 2812 188
193 6248 43
175 6962 38
112 3219 79
117 2326 99
170 8383 30
111 699 64
128 6303 108
175 801 42
138 1009 100
132 3604 153
118 9836 186
149 9752 188
194 7753 79
181 2488 86
184 6115 3
114 7203 79
119 9356 86
198 5167 28
100 5890 97
192 2193 189

3 6
2 2 5
3 3 8
1 4 1

